DATE,Y,YM,M,W,D,YMW,Rain_inches,Wind_Direct,Temp_Atmo,Temp_RawWW,Temp_EffW,WFLow_MDG,Elect_Use_kWh,USD_per_MG,TSS_ER,TSS_EP,TSS_EE,TSS_LOAD_EE,TSS_Removal_lbPday,BOD5_ER,BOD5_EP,BOD5_EE,BOD5_LOAD_EE,BOD5_Remov_lbPday,NH3_ER,NH3_EE,NH3_LOAD_EE,NH3_Remov_lbPday,FECAL_EE,pH_ER,pH_EE,DO_EE,SO2_resid_EE,Cl2_Resid1,Cl2_Resid2,Comments,Sludge_RecyledPlusDeH2O_galx1000,Sludge_WASTED_gal,Sludge_PRIMARY_gal,TSS_EOD1,TSS_EOD2,TSS_EODRS,SettlePercent_HRS_30min_OD1,SettlePercent_HRS_30min_OD2,SVI_Avge_OD2,Vsperc_EOD1,Vsperc_EOD2,Vsperc_ODRS,SlugdeAge_OD1_2,SludgeAge_7dayAVG,FoodtoMass_OD1_2,FoodToMass_7dayAVG,Height_in_OD1,Height_in_OD2,AMPS_OD1,AMPS_OD2,DO_OD1_AM,DO_OD1_PM,DO_OD1_AVG,DO_OD2_AM,DO_OD2_PM,DO_OD2_AVG,NH3_OD1_AM,NH3_OD1_PM,NH3_OD2_AM,NH3_OD2_PM,NH3_OD2_AVG
1/1/09,2009,20091,1,1,,200911,0,NE,61,68,66,2.81,6880,130.0099644,496,138,7.5,175.8,11448.1929,336,,3.4,79.7,7794.61404,34,0.3,7,789.77298,,7.4,6.4,6.6,0,2.9,3.066666667,"JR  Waste 40,000 GPD         ",904,39259,11250,,,,71,70,,,,,,6.164998088,,0.486246071,18.5,18,102,105,0.7,1.2,0.95,1.1,1.1,1.1,3.6,0.1,3.6,0.1,1.85
1/2/09,2009,20091,1,1,,200911,0,SE,75,68,67,3.025,6240,109.7165563,,,,,,,,,,,,,,,,7.5,6.5,6.5,0,2.75,2.966666667,NB,1021,39310,11250,,,,68,69,,,,,,6.18943181,,0.487297035,18.5,18,80,85,0.6,0.8,0.7,0.6,0.9,0.75,2.4,0.1,2.4,0.1,1.25
1/3/09,2009,20091,1,1,,200911,0.03,SW,70,68,68,3,6720,118.944,,,,,,,,,,,,,,,2,7.4,6.4,6.1,0,2.681818182,2.916666667,NB,1121,38212,11250,,,,69,70,,,,,,6.242830009,,0.488172838,18.5,18,80,85,0.5,0.7,0.6,0.6,1,0.8,2.4,0.1,2.4,0.1,1.25
1/4/09,2009,20091,1,1,,200911,0,SW,73,69,68,2.929,6240,113.0866894,,,,,,,,,,,,,,,,7.5,6.5,6.2,0,2.725,3.008333333,NB                                       ,936,44314,11250,,,,68,71,,,,,,6.17303014,,0.406022476,18.5,18,80,85,0.6,1.1,0.85,0.5,0.9,0.7,3.6,0.1,2.4,0.1,1.55
1/5/09,2009,20091,1,2,,200912,0.02,NE,69,69,69,2.896,6560,120.1158621,,,,,,,,,,,,,,,,7.4,6.9,6.2,0,2.675,2.908333333,GB                                   ,899,42269,11250,,,,60,65,,,,,,6.214486027,,0.377821605,18.5,18,123.5,125,1,0.6,0.8,1,0.6,0.8,2.4,0.1,2.4,0.2,1.275
1/6/09,2009,20091,1,2,,200912,1.04,NE,62,69,68,5.144,6400,66.11673152,446,138,7,300.1,18818.8764,294,126,4.8,205.8,12397.30992,18,2.3,98.6,673.02132,2,7.4,6.7,5.9,0,2.166666667,2.608333333,GB                                   ,1755,40689,11250,2950,2810,7600,70,64,232.5230714,0.657,0.662,,,6.947779387,,0.489575436,18.5,18,106,112,0.5,0.4,0.45,0.4,0.8,0.6,2.4,0.1,3.6,0.1,1.55
1/7/09,2009,20091,1,2,,200912,0,NW,56,68,68,4.008,7360,97.46034913,,,,,,,,,,,,,,,,7.4,6.5,5.2,0,2,2.591666667,NB                                  ,1570,41879,11250,,,,65,65,,,,,,7.772261639,,0.507699962,18.5,18,80,85,1.6,1.8,1.7,1.5,1.5,1.5,2.4,0.1,2.4,0.1,1.25
1/8/09,2009,20091,1,2,,200912,0,SW,69,68,68,3.196,6560,108.855,254,110,3.4,90.7,6688.0128,200,,2.7,72.1,5265.5424,23,0.46,12.3,601.54752,2,7.5,6.8,5.7,0,2.333333333,2.583333333,NB                                    ,1006,38788,11250,2840,2750,8800,64,67,234.4942382,,,,,7.234768534,,0.410682426,18.5,18,80,85,0.8,1.4,1.1,0.6,1.4,1,13.2,0.1,12,0.1,6.35
1/9/09,2009,20091,1,2,,200912,0,NW,72,70,69,3.155,6880,115.6101266,,,,,,,,,,,,,,,,7.3,6.5,6.2,0,2.958333333,3.091666667,GB / CHL.to Ret Sludge,988,40231,11250,,,,66,66,,,,,,7.262847241,,0.413058274,18.5,18,120.5,125,0.5,1.1,0.8,0.6,1.1,0.85,9.6,0.2,9.6,0.2,4.9
1/10/09,2009,20091,1,2,,200912,0.48,SW,75,70,69,3.493,8000,121.7191977,,,,,,,,,,,,,,,,7.3,6.4,6,0,2.35,2.881818182,GB,1143,41311,11250,,,,66,65,,,,,,7.214496116,,0.421373745,18.5,18,102,105,0.5,0.5,0.5,0.4,0.6,0.5,8.4,0.1,8.4,0.1,4.25
